id,order_ref,merchant_id,country_code,currency_code,gross,fee,net,transaction_time,psp_reference,internal_reference,source_ip,last_4_digits,firstname,lastname,email_address,address,delete_status,withdrawn_status,day,week,month,year,reason,refund_reason_id,payment_provider_id,transaction_status_id,transaction_mode_id,transaction_method_id,TxAuthNo,master_token_id,shopper_id
19288971,500242147,663209548,US,USD,3194,389,2805,2024-11-04 07:22:00,24101714DW44MB01JL14PWS,O500242147M663208385T21288971,172.69.129.169,0821,Chaim,Keebler,janae53@rath.net,"7,67,Parisianshire,Lucas Rapid",0,1,17,42,10,2024,,,3,3,1,1,192902,,19649545
19368971,500242147,663209548,US,USD,3194,389,2805,2024-11-03 07:22:00,24101714DW44MB01JL14PWS,O500242147M663208385T21288971,172.69.129.169,0821,Chaim,Keebler,janae53@rath.net,"7,67,Parisianshire,Lucas Rapid",0,1,17,42,10,2024,,,3,3,1,1,192902,,19649545
19388971,500242147,663209548,US,USD,3194,389,2805,2024-03-15 03:28:00,24101714DW44MB01JL14PWS,O500242147M663208385T21288971,172.69.129.169,0821,Chaim,Keebler,janae53@rath.net,"7,67,Parisianshire,Lucas Rapid",0,1,17,42,10,2024,,,3,3,1,1,192902,,19649545
21244717,511674778,1234700,US,USD,282,27,255,2024-09-25 13:24:12,24092513LG24GH13VT47GHS,O511674778M1234700T21244717,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,677722,87700754,63155140
21244718,398413994,1234853,AU,AUD,1000,354,646,2024-09-25 13:24:32,24092513JQ24NK33GY12PJZ,O398413994M1234853T21244718,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,93981,87700754,63155140
21244719,398413994SC976538,63169829,AU,AUD,54,0,54,2024-11-25 13:24:34,24092513JQ24NK33GY12PJZ,O398413994M1234853T21244718,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,93981,87700754,63155140
21244720,398413994SC976539,663176349,AU,AUD,100,0,100,2024-09-25 13:24:34,24092513JQ24NK33GY12PJZ,O398413994M1234853T21244718,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,93981,87700754,63155140
21244721,398413994SC976540,63154516,AU,AUD,200,0,200,2024-09-25 13:24:34,24092513JQ24NK33GY12PJZ,O398413994M1234853T21244718,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,93981,87700754,63155140
21244722,173550699,0,GB,GBP,925,0,925,2024-09-25 13:28:03,pay_3mb5mjawrtyehkc2t63ex45ura,O173550699M1235000T21244722,49.249.92.34,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,4,1,1,7,417071,87704532,766664680
21244723,208725685,0,GB,GBP,3075,0,3075,2024-09-25 13:28:15,pay_gxiy7qbsj73u5ip52ez72nuaa4,O208725685M1235000T21244723,49.249.92.34,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,4,1,2,24,723987,87704532,766664680
21244724,692305101,1234853,AU,AUD,1000,854,146,2024-09-25 13:30:58,24092513VT30HW59QY19JHV,O692305101M1234853T21244724,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,623613,87700754,63155140
21244725,692305101SC976554,63169829,AU,AUD,54,0,54,2024-11-25 13:31:00,24092513VT30HW59QY19JHV,O692305101M1234853T21244724,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,623613,87700754,63155140
21244726,692305101SC976555,663176349,AU,AUD,300,0,300,2024-09-25 13:31:00,24092513VT30HW59QY19JHV,O692305101M1234853T21244724,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,623613,87700754,63155140
21244727,692305101SC976556,63154516,AU,AUD,500,0,500,2024-09-25 13:31:00,24092513VT30HW59QY19JHV,O692305101M1234853T21244724,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,623613,87700754,63155140
21244728,126217883,1234853,AU,AUD,1000,854,146,2024-09-25 13:31:21,24092513TR31RW22JJ43QTY,O126217883M1234853T21244728,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,483800,87700754,63155140
21244729,126217883SC976557,63169829,AU,AUD,54,0,54,2024-11-25 13:31:23,24092513TR31RW22JJ43QTY,O126217883M1234853T21244728,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,483800,87700754,63155140
21244730,126217883SC976558,663176349,AU,AUD,400,0,400,2024-09-25 13:31:23,24092513TR31RW22JJ43QTY,O126217883M1234853T21244728,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,483800,87700754,63155140
21244731,126217883SC976559,63154516,AU,AUD,400,0,400,2024-09-25 13:31:23,24092513TR31RW22JJ43QTY,O126217883M1234853T21244728,,0821,Auto,test,automation_test@test.com,,0,0,25,39,9,2024,,,3,1,1,4,483800,87700754,63155140
21244732,936851016,1235000,GB,GBP,990,154,836,2024-09-25 13:31:33,pay_b76fqtssik4enpt7iawygx4s7u,O936851016M1235000T21244732,49.249.92.34,,Auto,test,automation_test@test.com,12 6 Primrose Rise 347 Lavender Road AA11AA,0,0,25,39,9,2024,Authentication Expired,,4,11,1,8,,,63155140
21244733,936851016SC976560,63154516,GB,GBP,100,0,100,2024-09-25 13:31:34,,,,,Auto,test,automation_test@test.com,12 6 Primrose Rise 347 Lavender Road AA11AA,0,0,25,39,9,2024,,,4,0,0,0,,,63155140
